aclu_id,display_name,running_in_2018,running_for_president
879,Rep. Bill Johnson,1,0
880,Rep. Bob Gibbs,1,0
895,Rep. Warren Davidson,1,0
887,Rep. Marcy Kaptur,1,0
888,"Rep. Michael ""Mike"" Turner",1,0
886,Rep. Marcia Fudge,1,0
894,Rep. Tim Ryan,1,0
882,Rep. Dave Joyce,1,0
893,Rep. Steve Stivers,1,0
883,Rep. Jim Renacci,0,0
899,Rep. Markwayne Mullin,1,0
896,Rep. Frank Lucas,1,0
901,Rep. Tom Cole,1,0
900,Rep. Steve Russell,1,0
908,Rep. Suzanne Bonamici,1,0
903,Rep. Greg Walden,1,0
902,Rep. Earl Blumenauer,1,0
906,Rep. Pete DeFazio,1,0
905,Rep. Kurt Schrader,1,0
921,"Rep. Robert ""Bob"" Brady",0,0
912,Rep. Dwight Evans,1,0
919,Rep. Mike Kelly,1,0
924,Rep. Scott Perry,1,0
913,"Rep. Glenn ""G.T."" Thompson",1,0
923,Rep. Ryan Costello,0,0
911,Rep. Brian Fitzpatrick,1,0
909,Rep. Bill Shuster,0,0
925,Rep. Tom Marino,1,0
916,Rep. Lou Barletta,0,0
914,Rep. Keith Rothfus (R-PA-12,1,0
910,Rep. Brendan Boyle,1,0
918,Rep. Mike Doyle,1,0
915,Rep. Lloyd Smucker,1,0
917,"Rep. Matthew ""Matt"" Cartwright",1,0
1048,Rep. Conor Lamb,1,0
927,Rep. David Cicilline,1,0
928,Rep. Jim Langevin,1,0
935,Rep. Mark Sanford,1,0
933,Rep. Joe Wilson,1,0
932,Rep. Jeff Duncan,1,0
939,Rep. Trey Gowdy,0,0
936,Rep. Ralph Norman,1,0
931,"Rep. James ""Jim"" Clyburn",1,0
938,Rep. Tom Rice,1,0
941,Rep. Kristi Noem,0,0
946,Rep. Phil Roe,1,0
949,"Rep. John ""Jimmy"" Duncan",0,0
944,Rep. Chuck Fleischmann,1,0
952,Rep. Scott DesJarlais,1,0
948,Rep. Jim Cooper,1,0
947,Rep. Diane Black,0,0
951,Rep. Marsha Blackburn,0,0
945,Rep. David Kustoff,1,0
953,Rep. Steve Cohen (D-TN-9,1,0
976,Rep. Louie Gohmert,1,0
988,Rep. Ted Poe,0,0
985,Rep. Sam Johnson,0,0
969,Rep. John Ratcliffe,1,0
962,Rep. Jeb Hensarling,0,0
965,Rep. Joe Barton,0,0
968,Rep. John Culberson,1,0
973,Rep. Kevin Brady,1,0
954,Rep. Al Green,1,0
980,Rep. Michael McCaul,1,0
970,Rep. Mike Conaway,1,0
