aclu_id,display_name,running_for_president,running_for_next_term,seat_up
11536,Rep. Abby Finkenauer,0,1,1
11537,Rep. Cindy Axne,0,1,1
11538,Rep. Russ Fulcher,0,1,1
11539,Rep. Jesús Garcia,0,1,1
11540,Rep. Lauren Underwood,0,1,1
11541,Rep. Sean Casten,0,1,1
11542,Rep. Greg Pence,0,1,1
11543,Rep. Jim Baird,0,1,1
11545,Rep. Sharice Davids,0,1,1
11546,Rep. Steve Watkins,0,0,1
11547,Rep. Ayanna Pressley,0,1,1
11548,Rep. Lori Trahan,0,1,1
11549,Rep. David Trone,0,1,1
11550,Rep. Jared Golden,0,1,1
11551,Rep. Andy Levin,0,1,1
11552,Rep. Elissa Slotkin,0,1,1
11553,Rep. Haley Stevens,0,1,1
11554,Rep. Rashida Tlaib,0,1,1
11555,Rep. Angie Craig,0,1,1
11556,Rep. Dean Phillips,0,1,1
11557,Rep. Ilhan Omar,0,1,1
11558,Rep. Jim Hagedorn,0,1,1
11559,Rep. Pete Stauber,0,1,1
11561,Rep. Michael Guest,0,1,1
11562,Rep. Kelly Armstrong,0,1,1
11563,Rep. Chris Pappas,0,1,1
11564,Rep. Andy Kim,0,1,1
11565,Rep. Jeff Van Drew,0,1,1
11566,Rep. Mikie Sherrill,0,1,1
11567,Rep. Tom Malinowski,0,1,1
11568,Rep. Deb Haaland,0,1,1
11569,Rep. Xochitl Small,0,1,1
11570,Rep. Steven Horsford,0,1,1
11571,Rep. Susie Lee,0,1,1
11572,Rep. Alexandria Ocasio-Cortez,0,1,1
11573,Rep. Anthony Brindisi,0,1,1
11574,Rep. Antonio Delgado,0,1,1
11575,Rep. Joseph Morelle,0,1,1
11576,Rep. Max Rose,0,1,1
11577,Rep. Anthony Gonzalez,0,1,1
11578,Rep. Kendra Horn,0,1,1
11579,Rep. Kevin Hern,0,1,1
11580,Rep. Chrissy Houlahan,0,1,1
11581,Rep. Dan Meuser,0,1,1
11582,Rep. Guy Reschenthaler,0,1,1
11583,Rep. John Joyce,0,1,1
11584,Rep. Madeleine Dean,0,1,1
11585,Rep. Mary Gay Scanlon,0,1,1
11586,Rep. Susan Wild,0,1,1
11587,Rep. Joe Cunningham,0,1,1
11588,Rep. William Timmons,0,1,1
11589,Rep. Dusty Johnson,0,1,1
11590,Rep. John Rose,0,1,1
11591,Rep. Mark Green,0,1,1
11592,Rep. Tim Burchett,0,1,1
11593,Rep. Chip Roy,0,1,1
11594,Rep. Colin Allred,0,1,1
11595,Rep. Dan Crenshaw,0,1,1
11596,Rep. Lance Gooden,0,1,1
11597,Rep. Lizzie Fletcher,0,1,1
11598,Rep. Ron Wright,0,1,1
11599,Rep. Sylvia Garcia,0,1,1
11600,Rep. Van Taylor,0,1,1
11601,Rep. Veronica Escobar,0,1,1
11602,Rep. Ben McAdams,0,1,1
11604,Rep. Abigail Spanberger,0,1,1
11605,Rep. Ben Cline,0,1,1
11606,Rep. Denver Riggleman,0,0,1
11607,Rep. Elaine Luria,0,1,1
11608,Rep. Jennifer Wexton,0,1,1
11609,Rep. Kim Schrier,0,1,1
11610,Rep. Bryan Steil,0,1,1
11611,Rep. Carol Miller,0,1,1
11613,Rep. Dan Bishop,0,1,1
11614,Rep. Gregory Murphy,0,1,1
11617,Rep. Mike Garcia,0,1,1
11618,Rep. Kweisi Mfume,0,1,1
11619,Rep. Tom Tiffany,0,1,1
,Rep. Fred Keller,0,1,1
534,Rep. Amata Radewagen,0,1,1
616,Rep. Eleanor Holmes Norton,0,1,1
791,Rep. Gregorio Sablan,0,1,1
813,Rep. Walter Jones,0,0,1
925,Rep. Tom Marino,0,0,1
926,Rep. Jennifer Gonzalez Colon,0,1,1
1009,Rep. Stacey Plaskett,0,1,1
11534,Rep. Michael San Nicolas,0,1,1
