Representative,State + District,Party,Total percentage score,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
,,,,H65: On H.R. 7: No Taxpayer Funding for Abortion and Abortion Insurance Full Disclosure Act of 2017,"H76: On H.J.Res. 37: Disapproving the rule submitted by the Department of Defense, the General Services Administration, and the National Aeronautics and ...","H77: On H.J.Res. 40: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by ...","H84: On H.J.Res. 57: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by ...","H99: On H.J.Res. 43: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule submitted ...","H202: On S.J.Res. 34: A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the ...",H244: On H.R. 1180: Working Families Flexibility Act of 2017,H256: On H.R. 1628: American Health Care Act of 2017,H265: On H.R. 115: Thin Blue Line Act,H268: On H.R. 1039: Probation Officer Protection Act of 2017,H342: On H.R. 3003: No Sanctuary for Criminals Act,H344: On H.R. 3004: Kate's Law,H369: On H.Amdt. 183 (Hartzler) to H.R. 2810 (115th): To prohibit funds for medical treatment (other than mental health treatment) related to ...,H372: On H.Amdt. 185 (Franks) to H.R. 2810 (115th): To require the Secretary of Defense to conduct strategic assessments of the use ...,H442: On Ordering the Previous Question: H RES 500 Providing for consideration of the bill (H.R. 3354) making appropriations for the Dept. of the Interior; providing for consideration of motions to s,H495: On H.Amdt. 383 (Scott) to H.R. 3354 (115th): To strike section prohibiting the EEOC from using funds to implement pay data ...,"H514: On H.Amdt. 427 (Ellison) to H.R. 3354 (115th): At the end of division F (before the short title), insert the following: ...",H517: On H.R. 3697: Criminal Alien Gang Member Removal Act,H518: On H.Amdt. 432 (Palmer) to H.R. 3354 (115th): To prohibit funds from being used to implement the District of Columbia's Reproductive ...,H549: On H.R. 36: Pain-Capable Unborn Child Protection Act,H14: On H.Amdt. 510 (Amash) to S. 139 (115th): To replace the text of S. 139 with the text of the USA ...,H16: On S. 139: An Act to amend the Foreign Intelligence Surveillance Act of 1978 to improve foreign intelligence collection and the ...,H36: On H.R. 4712: Born-Alive Abortion Survivors Protection Act,H80: On H.R. 620: ADA Education and Reform Act of 2017,H91: On H.R. 1865: Allow States and Victims to Fight Online Sex Trafficking Act of 2017,"H127: On H.R. 1625: Consolidated Appropriations Act, 2018",H175: On H.R. 2152: Citizens' Right to Know Act of 2018,H188: On H.R. 5698: Protect and Serve Act of 2018,"Judiciary committee vote (H13): Michael Davis, Jr. and Danny Oliver in Honor of State and Local Law Enforcement Act",Judiciary committee vote (H14): USCIS Reauthorization Act,Judiciary committee vote (H18): ICE Authorization Act,Judiciary committee vote (H17): Legal Workforce Act,Judiciary committee vote (H1): Poe Amendment #3 to H.R. 3989 (the USA Liberty Act),Intel committee vote on H.R. 4478 (FISA Amendments Reauthorization Act),Judiciary committee vote (H2): Citizens' Right to Know Act of 2017,Judiciary committee vote (H2): FIRST STEP Act
,,,,ACLU Opposed,ACLU Opposed,ACLU Supported,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Supported,ACLU Supported,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Supported,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Supported,ACLU Opposed,ACLU Opposed,ACLU Opposed
Rep. James Comer (R-KY-1),KY-01,R,14%,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Brett Guthrie (R-KY-2),KY-02,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. John Yarmuth (D-KY-3),KY-03,D,89%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Thomas Massie (R-KY-4),KY-04,R,36%,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Hal Rogers (R-KY-5),KY-05,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Missed,0,0,Missed,Missed,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Andy Barr (R-KY-6),KY-06,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Whip Steve Scalise (R-LA-1),LA-01,R,6%,0,0,1,0,0,0,0,0,0,0,Missed,Missed,Missed,Missed,Missed,Missed,Missed,Missed,Missed,0,Missed,Missed,Missed,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Cedric Richmond (D-LA-2),LA-02,D,85%,1,1,0,1,Missed,1,1,1,1,Missed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,Missed,Missed,Missed,Missed,Missed,Missed,Not on committee,Missed,0
"Rep. Clay ""Captain"" Higgins (R-LA-3)",LA-03,R,7%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Mike Johnson (R-LA-4),LA-04,R,9%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Not on committee,0,0
Rep. Ralph Abraham (R-LA-5),LA-05,R,7%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Garret Graves (R-LA-6),LA-06,R,18%,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
"Rep. Richard ""Richie"" Neal (D-MA-1)",MA-01,D,82%,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Jim McGovern (D-MA-2),MA-02,D,89%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Niki Tsongas (D-MA-3),MA-03,D,86%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Joe Kennedy (D-MA-4),MA-04,D,89%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Katherine Clark (D-MA-5),MA-05,D,92%,1,Missed,Missed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Seth Moulton (D-MA-6),MA-06,D,82%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
"Rep. Michael ""Mike"" Capuano (D-MA-7)",MA-07,D,89%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
"Rep. Stephen ""Steve"" Lynch (D-MA-8)",MA-08,D,78%,1,1,Missed,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Bill Keating (D-MA-9),MA-09,D,75%,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Andy Harris (R-MD-1),MD-01,R,14%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Dutch Ruppersberger (D-MD-2),MD-02,D,71%,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. John Sarbanes (D-MD-3),MD-03,D,86%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Anthony Brown (D-MD-4),MD-04,D,81%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,Missed,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Whip Steny Hoyer (D-MD-5),MD-05,D,82%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. John Delaney (D-MD-6),MD-06,D,75%,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Elijah Cummings (D-MD-7)!,MD-07,D,88%,1,1,0,1,1,1,1,1,1,1,Missed,Missed,Missed,Missed,Missed,1,1,1,1,1,Missed,Missed,Missed,Missed,Missed,Missed,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Jamie Raskin (D-MD-8),MD-08,D,91%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,Missed,1,1,Not on committee,1,1
Rep. Chellie Pingree (D-ME-1),ME-01,D,92%,1,1,Missed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,Missed,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Bruce Poliquin (R-ME-2),ME-02,R,7%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
"Rep. John ""Jack"" Bergman (R-MI-1)",MI-01,R,11%,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Bill Huizenga (R-MI-2),MI-02,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Missed,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Justin Amash (R-MI-3),MI-03,R,54%,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. John Moolenaar (R-MI-4),MI-04,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Dan Kildee (D-MI-5),MI-05,D,86%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Fred Upton (R-MI-6),MI-06,R,7%,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Tim Walberg (R-MI-7),MI-07,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
"Rep. Michael ""Mike"" Bishop (R-MI-8)",MI-08,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Sandy Levin (D-MI-9),MI-09,D,86%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Paul Mitchell (R-MI-10),MI-10,R,7%,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
"Rep. David ""Dave"" Trott (R-MI-11)",MI-11,R,8%,0,0,1,0,Missed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Missed,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Debbie Dingell (D-MI-12),MI-12,D,86%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Z-Vacant,MI-13,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rep. Brenda Lawrence (D-MI-14),MI-14,D,86%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Tim Walz (D-MN-1),MN-01,D,92%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,Missed,Missed,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Jason Lewis (R-MN-2),MN-02,R,25%,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Erik Paulsen (R-MN-3),MN-03,R,7%,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Betty McCollum (D-MN-4),MN-04,D,86%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Keith Ellison (D-MN-5),MN-05,D,89%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
"Rep. Thomas ""Tom"" Emmer (R-MN-6)",MN-06,R,18%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Collin Peterson (D-MN-7),MN-07,D,42%,0,Missed,Missed,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Rick Nolan (D-MN-8),MN-08,D,88%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Missed,Missed,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Lacy Clay (D-MO-1),MO-01,D,89%,1,1,0,1,1,1,1,1,1,Missed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Ann Wagner (R-MO-2),MO-02,R,4%,0,0,1,0,0,0,0,0,0,Missed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Blaine Luetkemeyer (R-MO-3),MO-03,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Vicky Hartzler (R-MO-4),MO-04,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Emanuel Cleaver (D-MO-5),MO-05,D,87%,1,1,0,1,1,1,1,1,1,1,1,1,Missed,Missed,1,1,1,Missed,Missed,1,1,1,1,1,Missed,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Sam Graves (R-MO-6),MO-06,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Missed,Missed,Missed,Missed,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Billy Long (R-MO-7),MO-07,R,8%,0,0,1,0,0,0,0,0,0,0,Missed,Missed,0,0,0,0,0,0,0,Missed,0,0,0,0,Missed,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Jason Smith (R-MO-8),MO-08,R,11%,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Trent Kelly (R-MS-1),MS-01,R,14%,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Bennie Thompson (D-MS-2),MS-02,D,81%,1,1,0,1,1,1,1,1,0,Missed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Gregg Harper (R-MS-3),MS-03,R,7%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Steven Palazzo (R-MS-4),MS-04,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Greg Gianforte (R-MT-1)*,MT-01,R,11%,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. G.K. Butterfield (D-NC-1),NC-01,D,85%,1,1,0,1,Missed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. George Holding (R-NC-2),NC-02,R,7%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Walter Jones (R-NC-3),NC-03,R,27%,Missed,Missed,Missed,0,0,1,0,1,0,1,0,0,0,Missed,0,0,0,0,0,0,1,1,0,0,1,Missed,Missed,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. David Price (D-NC-4),NC-04,D,86%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Virginia Foxx (R-NC-5),NC-05,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Mark Walker (R-NC-6),NC-06,R,4%,0,Missed,Missed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. David Rouzer (R-NC-7),NC-07,R,7%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Richard Hudson (R-NC-8),NC-08,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Robert Pittenger (R-NC-9),NC-09,R,4%,0,0,1,0,0,Missed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Missed,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Patrick McHenry (R-NC-10),NC-10,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Missed,Missed,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Mark Meadows (R-NC-11),NC-11,R,19%,0,0,1,0,0,0,0,0,0,1,Missed,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Alma Adams (D-NC-12),NC-12,D,85%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Missed,Missed,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Ted Budd (R-NC-13),NC-13,R,14%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Kevin Cramer (R-ND-1),ND-01,R,4%,0,0,1,0,Missed,0,0,0,0,0,0,0,0,0,Missed,0,0,0,0,0,0,0,0,0,Missed,Missed,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Jeff Fortenberry (R-NE-1),NE-01,R,7%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Don Bacon (R-NE-2),NE-02,R,7%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Adrian Smith (R-NE-3),NE-03,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Missed,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Carol Shea-Porter (D-NH-1),NH-01,D,86%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
"Rep. Ann ""Annie"" Kuster (D-NH-2)",NH-02,D,74%,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,Missed,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Donald Norcross (D-NJ-1),NJ-01,D,79%,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Frank LoBiondo (R-NJ-2),NJ-02,R,18%,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Missed,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,0,Not on committee,Not on committee
"Rep. Thomas ""Tom"" MacArthur (R-NJ-3)",NJ-03,R,11%,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Chris Smith (R-NJ-4),NJ-04,R,19%,0,0,1,0,0,0,1,1,1,0,Missed,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
