id,path,name
aclu/elections-api/congress_district:142,congress_districts_113/ct/congress_district_113_ct_04.geojson,CT Congressional District 4
aclu/elections-api/congress_district:143,congress_districts_113/ct/congress_district_113_ct_05.geojson,CT Congressional District 5
aclu/elections-api/congress_district:144,congress_districts_113/dc/congress_district_113_dc_98.geojson,DC Delegate District (at Large)
aclu/elections-api/congress_district:145,congress_districts_113/de/congress_district_113_de_00.geojson,DE Congressional District (at Large)
aclu/elections-api/congress_district:146,congress_districts_113/fl/congress_district_113_fl_01.geojson,FL Congressional District 1
aclu/elections-api/congress_district:147,congress_districts_113/fl/congress_district_113_fl_02.geojson,FL Congressional District 2
aclu/elections-api/congress_district:148,congress_districts_113/fl/congress_district_113_fl_03.geojson,FL Congressional District 3
aclu/elections-api/congress_district:149,congress_districts_113/fl/congress_district_113_fl_04.geojson,FL Congressional District 4
aclu/elections-api/congress_district:150,congress_districts_113/fl/congress_district_113_fl_05.geojson,FL Congressional District 5
aclu/elections-api/congress_district:151,congress_districts_113/fl/congress_district_113_fl_06.geojson,FL Congressional District 6
aclu/elections-api/congress_district:152,congress_districts_113/fl/congress_district_113_fl_07.geojson,FL Congressional District 7
aclu/elections-api/congress_district:153,congress_districts_113/fl/congress_district_113_fl_08.geojson,FL Congressional District 8
aclu/elections-api/congress_district:154,congress_districts_113/fl/congress_district_113_fl_09.geojson,FL Congressional District 9
aclu/elections-api/congress_district:155,congress_districts_113/fl/congress_district_113_fl_10.geojson,FL Congressional District 10
aclu/elections-api/congress_district:156,congress_districts_113/fl/congress_district_113_fl_11.geojson,FL Congressional District 11
aclu/elections-api/congress_district:157,congress_districts_113/fl/congress_district_113_fl_12.geojson,FL Congressional District 12
aclu/elections-api/congress_district:158,congress_districts_113/fl/congress_district_113_fl_13.geojson,FL Congressional District 13
aclu/elections-api/congress_district:159,congress_districts_113/fl/congress_district_113_fl_14.geojson,FL Congressional District 14
aclu/elections-api/congress_district:160,congress_districts_113/fl/congress_district_113_fl_15.geojson,FL Congressional District 15
aclu/elections-api/congress_district:161,congress_districts_113/fl/congress_district_113_fl_16.geojson,FL Congressional District 16
aclu/elections-api/congress_district:162,congress_districts_113/fl/congress_district_113_fl_17.geojson,FL Congressional District 17
aclu/elections-api/congress_district:163,congress_districts_113/fl/congress_district_113_fl_18.geojson,FL Congressional District 18
aclu/elections-api/congress_district:164,congress_districts_113/fl/congress_district_113_fl_19.geojson,FL Congressional District 19
aclu/elections-api/congress_district:165,congress_districts_113/fl/congress_district_113_fl_20.geojson,FL Congressional District 20
aclu/elections-api/congress_district:166,congress_districts_113/fl/congress_district_113_fl_21.geojson,FL Congressional District 21
aclu/elections-api/congress_district:167,congress_districts_113/fl/congress_district_113_fl_22.geojson,FL Congressional District 22
aclu/elections-api/congress_district:168,congress_districts_113/fl/congress_district_113_fl_23.geojson,FL Congressional District 23
aclu/elections-api/congress_district:169,congress_districts_113/fl/congress_district_113_fl_24.geojson,FL Congressional District 24
aclu/elections-api/congress_district:170,congress_districts_113/fl/congress_district_113_fl_25.geojson,FL Congressional District 25
aclu/elections-api/congress_district:171,congress_districts_113/fl/congress_district_113_fl_26.geojson,FL Congressional District 26
aclu/elections-api/congress_district:172,congress_districts_113/fl/congress_district_113_fl_27.geojson,FL Congressional District 27
aclu/elections-api/congress_district:173,congress_districts_113/ga/congress_district_113_ga_01.geojson,GA Congressional District 1
aclu/elections-api/congress_district:174,congress_districts_113/ga/congress_district_113_ga_02.geojson,GA Congressional District 2
aclu/elections-api/congress_district:175,congress_districts_113/ga/congress_district_113_ga_03.geojson,GA Congressional District 3
aclu/elections-api/congress_district:176,congress_districts_113/ga/congress_district_113_ga_04.geojson,GA Congressional District 4
aclu/elections-api/congress_district:177,congress_districts_113/ga/congress_district_113_ga_05.geojson,GA Congressional District 5
